key,en,zh,zh-tw,ja
AI OCR 设置,AI OCR Settings,AI OCR 设置,AI OCR 設置,AI OCR 設定
AI 服务商,AI Provider,AI 服务商,AI 服務商,AIプロバイダー
选择要使用的AI服务提供商。切换时会自动保存和恢复对应的配置。,Select the AI service provider to use. Configurations will be automatically saved and restored when switching.,选择要使用的AI服务提供商。切换时会自动保存和恢复对应的配置。,選擇要使用的AI服務提供商。切換時會自動保存和恢復對應的配置。,使用するAIサービスプロバイダーを選択してください。切り替え時に対応する設定が自動的に保存・復元されます。
硅基流动,SiliconFlow,硅基流动,硅基流動,SiliconFlow

豆包,Doubao,豆包,豆包,Doubao
API密钥,API Key,API密钥,API密鑰,APIキー
请输入对应服务商的API密钥。,Please enter the API key for the corresponding service provider.,请输入对应服务商的API密钥。,請輸入對應服務商的API密鑰。,対応するサービスプロバイダーのAPIキーを入力してください。
API基础URL,API Base URL,API基础URL,API基礎URL,APIベースURL
可选。自定义API基础URL，留空使用默认值。,Optional. Custom API base URL, leave blank to use default.,可选。自定义API基础URL，留空使用默认值。,可選。自定義API基礎URL，留空使用默認值。,オプション。カスタムAPIベースURL、空白の場合はデフォルトを使用。
模型,Model,模型,模型,モデル
输入要使用的模型名称。请根据所选服务商填写对应的模型名称。,Enter the model name to use. Please fill in the corresponding model name according to the selected service provider.,输入要使用的模型名称。请根据所选服务商填写对应的模型名称。,輸入要使用的模型名稱。請根據所選服務商填寫對應的模型名稱。,使用するモデル名を入力してください。選択したサービスプロバイダーに応じて対応するモデル名を入力してください。
请求超时,Request Timeout,请求超时,請求超時,リクエストタイムアウト
秒,seconds,秒,秒,秒
API请求的超时时间。,Timeout duration for API requests.,API请求的超时时间。,API請求的超時時間。,APIリクエストのタイムアウト時間。
最大重试次数,Max Retries,最大重试次数,最大重試次數,最大リトライ回数
次,times,次,次,回
请求失败时的最大重试次数。,Maximum number of retries when request fails.,请求失败时的最大重试次数。,請求失敗時的最大重試次數。,リクエスト失敗時の最大リトライ回数。
代理URL,Proxy URL,代理URL,代理URL,プロキシURL
可选。格式：http://proxy:port 或 socks5://proxy:port,Optional. Format: http://proxy:port or socks5://proxy:port,可选。格式：http://proxy:port 或 socks5://proxy:port,可選。格式：http://proxy:port 或 socks5://proxy:port,オプション。形式：http://proxy:port または socks5://proxy:port
最大并发数,Max Concurrent,最大并发数,最大並發數,最大同時実行数
个,items,个,個,個
批量处理时的最大并发请求数。,Maximum number of concurrent requests during batch processing.,批量处理时的最大并发请求数。,批量處理時的最大並發請求數。,バッチ処理時の最大同時リクエスト数。
文字识别（AI OCR）,Text Recognition (AI OCR),文字识别（AI OCR）,文字識別（AI OCR）,文字認識（AI OCR）
识别语言,Recognition Language,识别语言,識別語言,認識言語
自动检测,Auto Detect,自动检测,自動檢測,自動検出
中文,Chinese,中文,中文,中国語
英文,English,英文,英文,英語
日文,Japanese,日文,日文,日本語
韩文,Korean,韩文,韓文,韓国語
法文,French,法文,法文,フランス語
德文,German,德文,德文,ドイツ語
西班牙文,Spanish,西班牙文,西班牙文,スペイン語
俄文,Russian,俄文,俄文,ロシア語
阿拉伯文,Arabic,阿拉伯文,阿拉伯文,アラビア語
指定要识别的文字语言。自动检测适用于大多数情况。,Specify the language of text to recognize. Auto detection works for most cases.,指定要识别的文字语言。自动检测适用于大多数情况。,指定要識別的文字語言。自動檢測適用於大多數情況。,認識するテキストの言語を指定します。自動検出はほとんどの場合に適用されます。
输出格式,Output Format,输出格式,輸出格式,出力形式
仅文字,Text Only,仅文字,僅文字,テキストのみ
文字+坐标,Text + Coordinates,文字+坐标,文字+坐標,テキスト+座標
选择OCR结果的输出格式。坐标信息可用于定位文字位置。,Select the output format for OCR results. Coordinate information can be used to locate text positions.,选择OCR结果的输出格式。坐标信息可用于定位文字位置。,選擇OCR結果的輸出格式。坐標信息可用於定位文字位置。,OCR結果の出力形式を選択します。座標情報はテキストの位置を特定するために使用できます。
图像质量,Image Quality,图像质量,圖像質量,画像品質
自动,Auto,自动,自動,自動
高质量,High Quality,高质量,高質量,高品質
中等质量,Medium Quality,中等质量,中等質量,中品質
低质量,Low Quality,低质量,低質量,低品質
图像压缩质量。高质量可能提高识别精度但增加传输时间。,Image compression quality. High quality may improve recognition accuracy but increase transmission time.,图像压缩质量。高质量可能提高识别精度但增加传输时间。,圖像壓縮質量。高質量可能提高識別精度但增加傳輸時間。,画像圧縮品質。高品質は認識精度を向上させる可能性がありますが、転送時間が増加します。
最大图像尺寸,Max Image Size,最大图像尺寸,最大圖像尺寸,最大画像サイズ
（推荐）,(Recommended),（推荐）,（推薦）,（推奨）
图像的最大边长。过大的图像会被压缩以节省API调用成本。,Maximum side length of the image. Oversized images will be compressed to save API call costs.,图像的最大边长。过大的图像会被压缩以节省API调用成本。,圖像的最大邊長。過大的圖像會被壓縮以節省API調用成本。,画像の最大辺長。大きすぎる画像はAPI呼び出しコストを節約するために圧縮されます。
